model,k,covariance_type,aic,bic,silhouette,calinski_harabasz,davies_bouldin
gmm,2,full,755424.6508807786,756705.5639514591,0.18730113310752441,6624.242638285614,1.9090857788359037
gmm,3,full,630345.7499526008,632271.2515362691,0.05399126352333519,2959.758709474583,3.585122328265012
gmm,4,full,619141.4084526475,621711.4985493034,0.027044148787060022,2533.5708212445597,3.337065261042587
gmm,5,full,600609.2840834628,603823.9626931064,-0.00894857364711084,1828.6190663341768,5.2964053107395
gmm,6,full,588127.5042270081,591986.7713496393,-0.016885440178472565,1562.968796118176,5.054594960552058
gmm,7,full,579479.3807653872,583983.2364010061,-0.018705715284922243,1413.0866479424099,4.535847344184096
gmm,8,full,574235.5490959324,579383.9932445389,-0.02771664067051793,1224.3174650597025,4.522803560529364
gmm,9,full,566905.2594434167,572698.292105011,-0.012982757014921667,1351.1109214699245,3.7351078672737064
gmm,10,full,563816.8362969756,570254.4574715574,-0.0020519511036475526,1285.9252145830255,3.8244587928443976
gmm,11,full,557129.0672414041,564211.2769289736,-0.0011191136624347643,1382.2740406852581,3.9168445066584643
gmm,12,full,551759.1362068653,559485.9344074224,-0.003707162331390185,1254.5308544457248,4.668274891020726
gmm,13,full,547604.7480633578,555976.1347769026,-0.008117649395810155,1249.3179096832484,3.537378677744406
gmm,14,full,543861.5127936787,552877.4880202111,-0.022456993391857576,1116.8367156451923,4.1352938627677185
gmm,15,full,542482.8535232532,552143.4172627734,-0.021650948323922607,1117.8268160832229,3.733352638887295
gmm,2,tied,773351.0094782894,774086.5014995189,0.1710383759093276,6504.350706533594,2.023304439596428
gmm,3,tied,769924.3232468823,770758.9827316484,0.13200345313669337,5220.855670730006,2.175349961686649
gmm,4,tied,762890.6263180982,763824.4532664008,0.12307423849415174,3850.3768589578167,2.168695147302859
gmm,5,tied,754992.831494333,756025.8259061722,0.10155461981073982,3431.196236515334,2.3688784043413613
gmm,6,tied,729369.8997249611,730502.0616003369,0.0675987544334251,2837.757212852399,2.7921906228881745
gmm,7,tied,724971.7870565454,726203.1163954576,0.06771733827561098,2655.724390926678,2.6494894752064853
gmm,8,tied,722296.3002638791,723626.797066328,0.07929452777984473,2675.123247026502,2.4957509877873347
