model,k,inertia,silhouette,calinski_harabasz,davies_bouldin
kmeans,2,244481.6106227554,0.20747328521035047,8328.221780220478,1.7847910906065634
kmeans,3,222257.55494951672,0.14889209620742883,6014.0669765811535,2.0742325673085658
kmeans,4,207957.54987140285,0.12680516026893554,4942.227005353372,2.2026423961785246
kmeans,5,197802.84828158145,0.12116471439331941,4264.860924951268,2.133744356697783
kmeans,6,188362.43222062342,0.11886138570338357,3870.173689639913,2.1347698980610126
kmeans,7,180155.14030654368,0.11596777145691188,3589.6690918660843,1.9927495632846857
kmeans,8,173582.3366578001,0.11811426204427684,3348.3492134990456,1.973601459530985
kmeans,9,168231.11132232464,0.12128861588623592,3136.888753859355,1.9190636705113586
kmeans,10,163642.2419949233,0.11810472700976733,2955.766403554094,1.9066101847754813
kmeans,11,159522.47997242064,0.11735016693276808,2802.8343072549874,1.8823405485447589
kmeans,12,155739.09594886075,0.11813426227934122,2673.1534505660293,1.8826626853083692
kmeans,13,152166.02196093288,0.11675894425148033,2563.934306052275,1.8814105247519626
kmeans,14,148917.72143752757,0.11762412261765885,2466.3476489551977,1.794822901058981
kmeans,15,145831.79495511102,0.11687955109233786,2381.887215019163,1.8225508906232732
